model,condition,n_features,macro_f1_mean,delta_f1,mcc_mean
catboost,drop_physicochemical,42.0,0.4389724701963166,-0.0011728982658018028,0.2383887751237145
catboost,drop_substitution,63.0,0.4272908982968209,-0.012854470165297505,0.2108064313184141
catboost,drop_positional,46.0,0.3652922930643294,-0.07485307539778896,0.1280813091447444
catboost,drop_structural_core,59.0,0.4428011327227626,0.0026557642606442333,0.2266838854508369
catboost,drop_structural_nachr,59.0,0.4375470132442045,-0.0025983552179139058,0.1906752676109472
catboost,drop_conformational,61.0,0.4231346491939177,-0.01701071926820069,0.2019725340178051
gaussian_nb,drop_physicochemical,42.0,0.3217483578539354,-0.06452097677515789,0.1291246216242404
gaussian_nb,drop_substitution,63.0,0.365868937099139,-0.020400397529954317,0.1511447474050961
gaussian_nb,drop_positional,46.0,0.4052203552902328,0.018951020661139517,0.1845346690196946
gaussian_nb,drop_structural_core,59.0,0.3585544589751885,-0.02771487565390479,0.1493309067579883
gaussian_nb,drop_structural_nachr,59.0,0.3737595781674929,-0.012509756461600408,0.1621732785693027
gaussian_nb,drop_conformational,61.0,0.3776407979217764,-0.008628536707316892,0.173985512505207
knn,drop_physicochemical,42.0,0.3979813725861914,-0.019840574894948226,0.148692598150185
knn,drop_substitution,63.0,0.4155938396091436,-0.00222810787199601,0.1642491560893716
knn,drop_positional,46.0,0.3971749493618257,-0.02064699811931392,0.1428455917467064
knn,drop_structural_core,59.0,0.4364725368255294,0.01865058934438979,0.1756889807206745
knn,drop_structural_nachr,59.0,0.4192601318002411,0.0014381843191014765,0.1635184290964187
knn,drop_conformational,61.0,0.4246509503836393,0.0068290029024997145,0.1795906860795638
lightgbm,drop_physicochemical,42.0,0.4094489492646871,-0.011990970140974777,0.184893676897608
lightgbm,drop_substitution,63.0,0.4211903366684618,-0.0002495827372001047,0.1716349888228169
lightgbm,drop_positional,46.0,0.4043603083750419,-0.01707961103062,0.1259670256321707
lightgbm,drop_structural_core,59.0,0.4351715958085598,0.013731676402897908,0.2348805142780152
lightgbm,drop_structural_nachr,59.0,0.4094911169541054,-0.011948802451556495,0.1859195880199392
lightgbm,drop_conformational,61.0,0.4570245853343956,0.035584665928733716,0.2556709231815527
logistic_regression,drop_physicochemical,42.0,0.4350551401211151,-0.027226773974958762,0.1943746480772807
logistic_regression,drop_substitution,63.0,0.440917767044726,-0.02136414705134787,0.2130003135555645
logistic_regression,drop_positional,46.0,0.4056530644857873,-0.05662884961028658,0.1750952173140035
logistic_regression,drop_structural_core,59.0,0.4722977756565191,0.010015861560445205,0.2689799953359709
logistic_regression,drop_structural_nachr,59.0,0.4584653898942393,-0.0038165242018345924,0.2362288443129002
logistic_regression,drop_conformational,61.0,0.4650398821529076,0.002757968056833704,0.2479195960227775
mlp,drop_physicochemical,42.0,0.4043075066391089,0.019777598541894315,0.1697677900012956
mlp,drop_substitution,63.0,0.3830345878659476,-0.0014953202312670277,0.1433632495932882
mlp,drop_positional,46.0,0.3862025573471054,0.0016726492498908008,0.1500851068541972
mlp,drop_structural_core,59.0,0.4194005533057076,0.03487064520849298,0.1874909116714422
mlp,drop_structural_nachr,59.0,0.4259408942419173,0.04141098614470268,0.2118094028441149
mlp,drop_conformational,61.0,0.4242747082759136,0.039744800178699025,0.2100071623428234
random_forest,drop_physicochemical,42.0,0.446444562600385,0.015625241868493622,0.2521408074380466
random_forest,drop_substitution,63.0,0.3959652637353182,-0.03485405699657318,0.1591001444211043
random_forest,drop_positional,46.0,0.3423014610536645,-0.0885178596782269,0.0910503326561106
random_forest,drop_structural_core,59.0,0.4234802108412431,-0.007339109890648288,0.2157045202171924
random_forest,drop_structural_nachr,59.0,0.3804888958325422,-0.05033042489934919,0.1492398998097478
random_forest,drop_conformational,61.0,0.4253690091089883,-0.0054503116229031034,0.2182359568209017
svm_linear,drop_physicochemical,42.0,0.4178341762599924,-0.0333784172990631,0.2030139569393261
svm_linear,drop_substitution,63.0,0.4181036030735043,-0.033108990485551215,0.1966470893196227
svm_linear,drop_positional,46.0,0.3661854382147952,-0.08502715534426031,0.1506336326548644
svm_linear,drop_structural_core,59.0,0.4325346099303487,-0.018677983628706818,0.2280057905593652
svm_linear,drop_structural_nachr,59.0,0.4175294262770762,-0.03368316728197934,0.1813601690718949
svm_linear,drop_conformational,61.0,0.4479298672395935,-0.003282726319462026,0.2496842814182206
svm_rbf,drop_physicochemical,42.0,0.4193389875175886,-0.018773427641690932,0.2098778936052734
svm_rbf,drop_substitution,63.0,0.4111616534494021,-0.026950761709877424,0.1879453960516013
svm_rbf,drop_positional,46.0,0.3836917060540201,-0.054420709105259424,0.1430170462325017
svm_rbf,drop_structural_core,59.0,0.4491515821127955,0.011039166953515978,0.2238663233262665
svm_rbf,drop_structural_nachr,59.0,0.419131191933149,-0.018981223226130495,0.1948338151700663
svm_rbf,drop_conformational,61.0,0.4368444507682634,-0.0012679643910161187,0.2083539378037558
xgboost,drop_physicochemical,42.0,0.4463692648988472,-0.015305783139270612,0.2266491494666226
xgboost,drop_substitution,63.0,0.4478280869813842,-0.013846961056733609,0.238180582753452
xgboost,drop_positional,46.0,0.4233126218331087,-0.038362426205009126,0.1813964816167448
xgboost,drop_structural_core,59.0,0.4599630176622348,-0.0017120303758830224,0.2558093912324709
xgboost,drop_structural_nachr,59.0,0.4669405847242929,0.005265536686175076,0.271525334632896
xgboost,drop_conformational,61.0,0.4560948985331655,-0.005580149504952336,0.2481318143683399
