,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,delta_f1
drop_positional,52.0,0.3863917980463064,0.0,0.2063792890462776,0.0,0.4524688211216814,0.0,0.43952933515839765,0.0,0.4001164805287442,0.0,0.4274688211216814,0.0,-0.06305495471147649
drop_physicochemical,48.0,0.4362520552443258,0.0,0.23577697888824525,0.0,0.4995979867814356,0.0,0.5113063654851897,0.0,0.4679351883646265,0.0,0.4594464716299204,0.0,-0.013194697513457088
drop_substitution,69.0,0.4432945174085985,0.0,0.23673469458565735,0.0,0.49217938980561043,0.0,0.5099200502580541,0.0,0.4780808580007774,0.0,0.4603612079874286,0.0,-0.0061522353491844095
drop_conservation,69.0,0.4448560268440425,0.0,0.24898835199299466,0.0,0.5125501245973533,0.0,0.5122549403988087,0.0,0.47837198811320764,0.0,0.47239860944583806,0.0,-0.004590725913740379
full,72.0,0.4494467527577829,0.0,0.2403091363011216,0.0,0.498431585880834,0.0,0.5166318849750888,0.0,0.4797998708545757,0.0,0.4666134040626522,0.0,0.0
drop_structural_nachr,65.0,0.46139400923896295,0.0,0.2642301783248545,0.0,0.5272870393178185,0.0,0.527056395864716,0.0,0.49197253769971294,0.0,0.48713552416630346,0.0,0.011947256481180057
drop_esm2,70.0,0.46289280775969727,0.0,0.2695617438479575,0.0,0.5122463665075658,0.0,0.5354073951791705,0.0,0.5076111608713364,0.0,0.47739788165908087,0.0,0.01344605500191437
drop_conformational,67.0,0.4637476703060181,0.0,0.2506961355133143,0.0,0.5162204592682738,0.0,0.5265547324423534,0.0,0.49433642125400273,0.0,0.48440227745009184,0.0,0.014300917548235204
drop_alphamissense,71.0,0.46754506145450236,0.0,0.25887081305806847,0.0,0.5215120161627156,0.0,0.5233442699627879,0.0,0.5057739136941819,0.0,0.48969383434453373,0.0,0.018098308696719467
drop_structural_core,65.0,0.48333882629258473,0.0,0.28868720448785334,0.0,0.5459119375559497,0.0,0.5420009217033628,0.0,0.5126123647434155,0.0,0.5057604224044345,0.0,0.033892073534801836
