,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,delta_f1
drop_substitution,69.0,0.5666272159675478,0.0,0.25078908635583336,0.0,0.6730996964032055,0.0,0.6588084637080035,0.0,0.6298755449635599,0.0,0.5980996964032055,0.0,-0.0567631277795988
drop_structural_core,65.0,0.5699642285909121,0.0,0.2574329863768366,0.0,0.6764359040649817,0.0,0.6617306023692824,0.0,0.6331823947035351,0.0,0.6014359040649817,0.0,-0.05342611515623452
drop_physicochemical,48.0,0.6041454298324583,0.0,0.2959311424369517,0.0,0.7475448440791286,0.0,0.7265688166238171,0.0,0.6505647991807764,0.0,0.6475448440791286,0.0,-0.0192449139146883
full,72.0,0.6233903437471466,0.0,0.3079223141984811,0.0,0.7108577592358952,0.0,0.7176649437789858,0.0,0.6481487950905758,0.0,0.6358577592358953,0.0,0.0
drop_positional,52.0,0.6337035061114759,0.0,0.3253911938545725,0.0,0.7183516629502321,0.0,0.7281449826909474,0.0,0.657823738106757,0.0,0.6433516629502322,0.0,0.01031316236432922
drop_conservation,69.0,0.63805671270305,0.0,0.33426903391961205,0.0,0.7217278615744231,0.0,0.7324286836746149,0.0,0.6632732495052313,0.0,0.6467278615744231,0.0,0.014666368955903342
drop_conformational,67.0,0.6382906533113675,0.0,0.33735417020626507,0.0,0.7219377428262908,0.0,0.7344154386415023,0.0,0.6663909229068803,0.0,0.6469377428262908,0.0,0.014900309564220837
drop_structural_nachr,65.0,0.6388631916388303,0.0,0.33775700568973954,0.0,0.7273451281529715,0.0,0.7287863886528159,0.0,0.661475140648825,0.0,0.6523451281529715,0.0,0.015472847891683683
drop_alphamissense,71.0,0.6446887045081333,0.0,0.334202161392008,0.0,0.7235701645663186,0.0,0.7460004774911049,0.0,0.661898669633338,0.0,0.6485701645663187,0.0,0.02129836076098668
drop_esm2,70.0,0.6494954894392759,0.0,0.3576656018100731,0.0,0.7334849142780115,0.0,0.7431239499204478,0.0,0.6750234569709209,0.0,0.6584849142780116,0.0,0.026105145692129295
