model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.46108526621703455,0.02453313397556794,0.24598805510250746,0.026246819444515082,0.4927643606849985,0.028360901157751504,0.49253362164763753,0.026111682063080816,0.4926450442614818,0.01300349785574731,0.4927643606849985,0.028360901157751504
svm_rbf,0.4291494972128058,0.019058114600038565,0.19849657328901374,0.028600740914354692,0.4598305221946688,0.03287603417176026,0.4781928784083333,0.017369804532126828,0.47546913885433373,0.023410841314878666,0.4598305221946688,0.03287603417176026
svm_linear,0.4463544338482923,0.01580577023061307,0.21954662092580832,0.02310485472564346,0.47433667083191605,0.024130950717321607,0.4833868992250727,0.025090812924971912,0.4799958382380259,0.012709408967872758,0.47433667083191605,0.024130950717321607
random_forest,0.4701343198422008,0.02350676526413285,0.2598470792969374,0.022154198263572556,0.4932144738033557,0.024709564666953104,0.5194173274229756,0.021308773909934093,0.5093291445310407,0.033142113503827945,0.4932144738033557,0.024709564666953104
lightgbm,0.4663163654993885,0.019241570198977216,0.2513659259946877,0.012832540479896622,0.4939109218822495,0.01740531702150681,0.5168371571623419,0.011966981620607437,0.49574618682524657,0.023926239290625134,0.4939109218822495,0.01740531702150681
knn,0.4259224943566354,0.014341347139558204,0.16754922611455791,0.01606621488587208,0.4628265799955524,0.005998197159412837,0.45983699735836175,0.010109582553463477,0.4399544868136069,0.010821698400361169,0.4628265799955524,0.005998197159412837
gaussian_nb,0.3866499818246025,0.044414652764749624,0.18370692401293817,0.04502620218111407,0.4455913323174072,0.05172022562802256,0.42582312110441656,0.021856412440311543,0.4529848881060817,0.030865144719454656,0.4455913323174072,0.05172022562802256
mlp,0.42311035078179743,0.021347452937575846,0.1799215299035417,0.02405064316719997,0.4469924557301869,0.020929239831730836,0.4687854218491858,0.002284472404329843,0.4436214614301292,0.02296897908621796,0.4469924557301869,0.020929239831730836
xgboost,0.44438583410370386,0.033542696555604025,0.22041710339817167,0.05135597823581957,0.46864678176384506,0.03535931512075851,0.5028379757869567,0.03643139702014337,0.5053888987062966,0.05099817321307806,0.46864678176384506,0.03535931512075851
catboost,0.4890877608000072,0.020605456971634767,0.27426003318618253,0.0332754659923704,0.51890947387595,0.022045324550109515,0.5254847389071565,0.015664011719091504,0.5191690926400372,0.025123819279649674,0.51890947387595,0.022045324550109515
