model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.4560714935356142,0.02374460443760011,0.25178833821153773,0.03131208658381642,0.4999730460187715,0.025460835347493008,0.5255464462221554,0.021868392719023588,0.4795060573722932,0.0236343861251179,0.48456900561473115,0.016817346344218647
svm_rbf,0.4339387697607468,0.021403851466415696,0.20390462246154292,0.035703402066864016,0.46136828878714536,0.013994442449153174,0.5051932691484892,0.014821787668774667,0.4774261295413957,0.032237876897984165,0.4525299049487615,0.02646838808224356
random_forest,0.5102383048677647,0.027337909026801117,0.30524927155031056,0.021825588201741186,0.5360067703822499,0.015498346886379516,0.5669499051856285,0.020051067672087836,0.5362997476455732,0.021237805136064165,0.5243906087660882,0.025156579838278285
lightgbm,0.4744481960807007,0.025099106838506694,0.24293643962824,0.03213789045620806,0.5032221288268613,0.008134129841061563,0.5334854510955972,0.02118995377024552,0.4940808126110207,0.023437320446224798,0.4926160682208008,0.021511846612020626
svm_linear,0.4647076646975575,0.017522526296922653,0.25281336136437915,0.018866605183033788,0.49995773448528746,0.016636761949207858,0.5296186972398039,0.008400984941449497,0.4945728410673445,0.005272299065016893,0.4873314718590249,0.014990228923423625
knn,0.4663554958776606,0.028641121684790518,0.2394355506184959,0.024273947786461598,0.4981891825373412,0.01802313916355997,0.5156840481677845,0.02987728853309154,0.49418516399690454,0.014552093585268534,0.48960332395148254,0.029978318510966495
gaussian_nb,0.44980773165577675,0.03658872406163076,0.23976470977539063,0.04181905912737785,0.4924270082640379,0.02011662695364215,0.5038235277324039,0.01907799136589245,0.4731669355773816,0.03401169178656187,0.4750027658397955,0.044407357633165986
mlp,0.4457080902438133,0.023048426428349478,0.20332071568824958,0.026430900429035543,0.4809425201712605,0.0029075613038163414,0.502918285594018,0.017771980413119056,0.46401731254933704,0.022172331289100657,0.46755868178742216,0.021674603107120525
xgboost,0.46496373574578365,0.029395813851868412,0.24190904987597026,0.04459666811618798,0.497057332321873,0.018767672470272497,0.5420440081440034,0.02735551453723015,0.5134150669613481,0.033499355291794805,0.4874613727259134,0.029706806760506188
catboost,0.48301271636521026,0.04170870929549535,0.26770040230384545,0.05226056630150624,0.5120385194832161,0.02502023356101359,0.5401395267102234,0.03343185506834402,0.5021097124571193,0.038058829285843546,0.5004223578670545,0.03830618904180891
