model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.4994701501396319,0.024421236879917072,0.30654103597607746,0.02259858651601083,0.5403167644829279,0.007734037577873234,0.5533223843490437,0.019851769499918938,0.5221385553106364,0.01918103690756783,0.5259228250889886,0.021004520186042677
svm_rbf,0.44616823707332337,0.03241500764240892,0.23192687453451719,0.04476684713838922,0.4766714897276505,0.023491111707402174,0.5191467201037773,0.025875981926169432,0.4899740758658068,0.03161230322833165,0.46783310588926663,0.03535935004832524
random_forest,0.5028299149330384,0.04034620469817659,0.2996166230685906,0.0457546026251437,0.531499681306881,0.029745841951740404,0.5607841383146285,0.03371450099704919,0.5246374601060858,0.0359888076940457,0.5208936207008202,0.04255862550656539
lightgbm,0.48000093874002703,0.026200385260479925,0.2603310008780107,0.03567621272969567,0.5115009716590971,0.01627350548789961,0.5331202926015473,0.029486970286311576,0.4998357645319513,0.023913957085396037,0.4998848100429356,0.020021282502289753
svm_linear,0.47045327662260544,0.011309179882313282,0.26802699650249256,0.01357168968492946,0.5107612953043384,0.015567981973475281,0.5213625110170442,0.00785033879681284,0.5046397736401205,0.013063674073275558,0.496367355910399,0.005362290309524682
knn,0.465713411814437,0.042379872845693604,0.23771069980364576,0.046409358029518934,0.5073319099078014,0.030927174325325026,0.5077683846869828,0.03779843857061792,0.4863516241371501,0.027497722228633826,0.4969783745542662,0.04401645708254965
xgboost,0.47169771414530165,0.024895952598123234,0.2626196819972946,0.03370867407886511,0.5043811693698527,0.021274216875775222,0.5494851285013209,0.020671559522209237,0.5072364059637322,0.028506826614051566,0.49200743199611524,0.023475508572661674
catboost,0.4889448945620025,0.03325779735603189,0.2698429836406412,0.04231985099340531,0.5188836233754832,0.02289032530606425,0.5374803635503341,0.0325436184463396,0.5031465156391802,0.021695238635749986,0.5102977647896246,0.03383401104339076
mlp,0.44751428598202275,0.011213873708565457,0.21104535917197934,0.020155353324116058,0.47134311402357865,0.01139149990592303,0.49558037459862464,0.01723333210839165,0.467303326937339,0.00444525748077875,0.4607370534175181,0.012240908466953223
gaussian_nb,0.4656777380933468,0.049392515811586234,0.24599020213612977,0.06676695692842344,0.5084281646644389,0.0470447585312579,0.5120939989658987,0.030140071365203382,0.48941003151126966,0.043597598941246395,0.4937817000179742,0.06646627549855852
