model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.5771313479976335,0.028081671565437328,0.2014492408372773,0.06162672502812765,0.5997130047855437,0.040535018709412014,0.6173364397576994,0.022725919390976023,0.6006350091210361,0.025180071923759758,0.5997130047855437,0.040535018709412014
svm_rbf,0.5941716047314666,0.05023513171870528,0.23747444915700147,0.11437026264784776,0.6148526039736001,0.06697595596065474,0.6434529079669343,0.044657390704242496,0.6232917413483143,0.052719575163994524,0.6148526039736001,0.06697595596065474
random_forest,0.6444568055200891,0.03784624187139987,0.32682322222083987,0.04446231314024931,0.663966633657135,0.02503167992768297,0.6927931650184279,0.046548785693614196,0.6631573316825946,0.019563590484685107,0.663966633657135,0.02503167992768297
lightgbm,0.6289075922543212,0.014980050543029132,0.28862031424284273,0.017819600900444602,0.6425165424168023,0.017803081920204224,0.6674954687964698,0.02218220055601047,0.6437597869971982,0.004406177065074662,0.6425165424168023,0.017803081920204224
svm_linear,0.5659738576444746,0.07265379105339015,0.19110807935538063,0.13697845760353422,0.5867677868503443,0.07977285564237785,0.6067022573496528,0.06409007662946098,0.6019868201534212,0.062393986997743435,0.5867677868503443,0.07977285564237785
knn,0.6335168329728617,0.006450836476103716,0.29970585511810616,0.002849243865076333,0.6546523217726247,0.009578347899754987,0.6719902296716341,0.018696669515209735,0.6449862900094283,0.004727627355362738,0.6546523217726247,0.009578347899754987
xgboost,0.6283447968539716,0.041466137726460454,0.3111115427478897,0.03558785249723254,0.6477339866824745,0.020490102908839375,0.6850026267290551,0.05400643263366612,0.6646515043959971,0.015361557580585498,0.6477339866824745,0.020490102908839375
catboost,0.6288602991841447,0.03542368967969797,0.29492559451576433,0.04711192378450954,0.648614229009027,0.025427813427852785,0.6706107968826641,0.05199809661290852,0.6460546268490731,0.02300164715510616,0.648614229009027,0.025427813427852785
mlp,0.5906872520484848,0.006437577602057947,0.21880680510432649,0.021476030865399547,0.6098646453867683,0.018497562112095394,0.6338725393022616,0.0295022665379942,0.6089124680012243,0.008474596326155041,0.6098646453867683,0.018497562112095394
gaussian_nb,0.5005574724664633,0.05421418750064247,0.14606203261715522,0.07301875698120881,0.5757646470044923,0.03334886761350444,0.5197740505835712,0.05375066684281008,0.5729615605449815,0.039030780895859395,0.5757646470044923,0.03334886761350444
