model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.5997158242700023,0.03387767334362071,0.27105747256319696,0.03973286105477626,0.6554491412369332,0.010080775124115865,0.6566026618297548,0.013841667125425916,0.6345705296041292,0.020026587409633582,0.6304491412369332,0.030965804683940692
svm_rbf,0.5681799087066387,0.05075296549365,0.23966596812621166,0.07338201853661096,0.6066820589410168,0.05882644698419464,0.6077784365809019,0.05133696153819644,0.6184434941937466,0.04040216747789425,0.5983487256076835,0.07055907188766976
random_forest,0.6387137680999899,0.010745200997653276,0.3166689416058994,0.011945814197492313,0.6788620276355072,0.031374443892686996,0.697504727980537,0.03262811975457123,0.6553691310382747,0.005209070410733072,0.653862027635507,0.006808544708596413
lightgbm,0.6049224135298586,0.027866596260569903,0.2505593697593587,0.043219271110614514,0.6631437246332884,0.07036511811088893,0.6792137476522385,0.06753451934683637,0.622859821944766,0.019632621950902325,0.629810391299955,0.024180774730482982
svm_linear,0.6098831245862052,0.04385791401919237,0.29006283555972695,0.05111964918669729,0.6677806907377866,0.012862412141481698,0.6617990599665852,0.02478771885598965,0.6412630906432261,0.020620675978873914,0.6427806907377865,0.04240882265263516
knn,0.5966860049022548,0.026917851729617318,0.2508308305293856,0.018953502670595097,0.6318344278313582,0.012417015546953817,0.6421897487728042,0.03166137761676802,0.6198548638170328,0.007104691176695609,0.6151677611646915,0.027074277205790167
gaussian_nb,0.5860612104062515,0.03487019047997382,0.2409217638634571,0.038898099418096056,0.6593594648768011,0.023319513642761948,0.6442435772671917,0.007809884164367207,0.6167956023117558,0.015119122121737069,0.6260261315434678,0.024247454698239017
mlp,0.6042960711216975,0.04150918874747213,0.28062685061373954,0.026930954209170643,0.6439503831401021,0.018256645231773956,0.6500551041608513,0.032996993589105156,0.63827322482336,0.010673611515363248,0.6272837164734355,0.041801988772041575
xgboost,0.6242665938820772,0.027640990129040966,0.2752171575063837,0.04122563235780911,0.6707956344559843,0.0692187604609427,0.7110111874858646,0.06399512854471377,0.639565593310144,0.015118145863907162,0.6374623011226511,0.025729063167881813
catboost,0.6014565935976457,0.006073483046039199,0.24611902840084643,0.02327211570907967,0.6600799136281652,0.05713804407194538,0.6770440859020349,0.04474641831858899,0.620974952208492,0.013331879213861675,0.6267465802948319,0.010014645320904713
