model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.6156220929387565,0.034823763343210676,0.2939009682486378,0.021094871423860333,0.6717000238490461,0.01511428178287137,0.662626584153024,0.022218453830936565,0.6408712102017688,0.005802554750248714,0.6467000238490462,0.026211636431400204
svm_rbf,0.5638745397510535,0.06960419741879754,0.20578767401977252,0.08402774731615459,0.5918448243822857,0.06776636769842992,0.6062318698686308,0.0743685825134584,0.5998906315099181,0.041119118480390494,0.5835114910489524,0.07932421007216924
random_forest,0.6304253407859522,0.008903212157810434,0.30115171156418014,0.005266306231268539,0.6729479842448747,0.02699126605031839,0.6901736599401905,0.026687949010776167,0.6461059265463888,0.004842567124942025,0.6479479842448749,0.00911261177972858
lightgbm,0.6262899492035591,0.011920639612624673,0.2749332784384569,0.020827936319896972,0.6777440290764126,0.059378630681141464,0.7021501902209465,0.05164293043491056,0.6322832344924473,0.010691557375262065,0.6444106957430793,0.01239189346817171
svm_linear,0.6030182281009563,0.029927036337571218,0.25991082452647696,0.036629210677272865,0.6690803286976873,0.025582154480458103,0.668556302894574,0.018816360591955843,0.6261860542363271,0.01508870399797071,0.6357469953643539,0.02191217446526062
knn,0.5970368521606597,0.019419387693262232,0.2392129926246457,0.03548534303897362,0.642326229814609,0.03224363654896306,0.6578431706225996,0.017609713593067212,0.6149298594012517,0.02035757998483003,0.617326229814609,0.013428878880155202
xgboost,0.6447227077454065,0.010621607395987567,0.31715140592639246,0.019579064028684867,0.6923799743853988,0.058266491819362734,0.7286414113231788,0.050572677201669025,0.660386164021793,0.010038251054837058,0.6590466410520653,0.01119615014432657
catboost,0.6120695848510327,0.02349627681697013,0.2577938023026316,0.04632638545407427,0.647652423315977,0.04374780900848608,0.676756091813853,0.04498759533908329,0.6280499001575367,0.020287010903242537,0.622652423315977,0.022815559990667048
mlp,0.6066588538464699,0.05765361949685592,0.26569967235567127,0.0843646756785238,0.65491437210254,0.042440104825365546,0.6577244598502278,0.05159120139365266,0.6286410446891767,0.03714840893101934,0.6299143721025401,0.05469979105438951
gaussian_nb,0.5925043154348347,0.03739490010787626,0.2511779923750513,0.045983687251042495,0.6644373840239656,0.022714813307880038,0.6506157602986986,0.007934772518523373,0.6219882044109215,0.019902784679370563,0.6311040506906324,0.026602245399934322
