model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.5978219405610166,0.029022655651575954,0.2608211973237355,0.025206534801813823,0.6532541720082352,0.010993742736352072,0.64779431353452,0.006975195475862653,0.6262457239659392,0.013395299606124157,0.6282541720082352,0.025439290298598195
svm_rbf,0.5675114726176003,0.07209639989762258,0.2161595769138567,0.08811181722779314,0.5946744833728035,0.0688204589087161,0.6111448352644017,0.07713218695316851,0.6081168452387705,0.04395962704433479,0.5863411500394702,0.08016321546692251
random_forest,0.6468978936378736,0.0060635919130192775,0.3308040337645972,0.011472972665194946,0.6851550436467955,0.027450140124621394,0.708893434444451,0.03251093062443151,0.6630606606089046,0.007184280284238403,0.6601550436467954,0.009096930629898622
lightgbm,0.6168843035015615,0.01902868532680366,0.27144319067247824,0.04301494993774776,0.661060543295877,0.04691092422882981,0.6717061711977307,0.04581208605866387,0.6285477323430029,0.020193016845402693,0.6360605432958771,0.011651409994502392
svm_linear,0.5792657653166691,0.02724505659935251,0.23458673832605492,0.027247324454039497,0.6385906123470325,0.010945824583157347,0.6344845505737552,0.0132564983860394,0.6148673353350637,0.01498646369377014,0.6135906123470325,0.025169962912595472
knn,0.5858152820255965,0.017284995408910188,0.23110181143492903,0.024624938358730513,0.6221134787043562,0.010270933513199753,0.6339360763550628,0.012477152087474916,0.6103433853229424,0.013499826229314752,0.6054468120376894,0.014640535370320996
gaussian_nb,0.5852926279993078,0.03359638361775128,0.23721883502982796,0.03658138704851595,0.6576030309726153,0.02428007080854564,0.6435841894148828,0.009349595381818022,0.6148563958881749,0.013941423015597178,0.624269697639282,0.023141963226962475
mlp,0.5955379920649297,0.03305897696892709,0.2465213482540297,0.038044728420065684,0.6613284137748234,0.027703303010356006,0.6584849249927873,0.022413340036484663,0.6205998962796206,0.012561779647256228,0.6279950804414901,0.026105782177097657
xgboost,0.6245474412579436,0.03761678418966183,0.28798632336456914,0.05855599514885096,0.6768728806125708,0.07648119754417172,0.7130004764641309,0.0752295131855512,0.6467887978321111,0.02885928883857217,0.6435395472792376,0.029360086268177498
catboost,0.6365580393306538,0.019158056668381298,0.2960274613664506,0.028406742013649365,0.6863050277963447,0.06355183529291925,0.7109931163137667,0.061635172350662605,0.6447849332967288,0.012113405349416125,0.6529716944630114,0.017368654560188886
