model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.6070313361834666,0.03795950231057385,0.28559843820482894,0.04042830352138142,0.665898291482555,0.0069080508647757265,0.6612396135497117,0.018181317099940753,0.6386440028285235,0.016099517549694516,0.6408982914825551,0.03703701577703235
svm_rbf,0.5611024225395473,0.06287113540209692,0.21160229600141658,0.08244438349622324,0.5917507291364099,0.06355833775239143,0.6028508700583609,0.05934760162876936,0.605735654936907,0.04400598375628823,0.5834173958030765,0.07513973200251124
random_forest,0.6290690024817075,0.0336386111079373,0.3129856085206402,0.04514860336170773,0.675367379476846,0.04875964049463435,0.6908447700216961,0.06102020801266295,0.6562093466233313,0.020777204482734707,0.6503673794768461,0.015926040109888646
lightgbm,0.6020473085717316,0.02699955963497213,0.2483448736660998,0.05952408591026706,0.6474468352940509,0.05503154007333516,0.6686360149932971,0.04461716323216746,0.6194469181841028,0.02847193210175389,0.6224468352940508,0.02054521047690027
svm_linear,0.5923525947487874,0.027011110846146946,0.2550460535565074,0.030506994587955867,0.6493967189923889,0.014155925104263578,0.6476367029816085,0.006425470321580389,0.6243257587006187,0.01748750188684827,0.624396718992389,0.025053763643803927
knn,0.6011958996765393,0.03409742915095124,0.25628917683132985,0.01899313304375442,0.6335987531486867,0.010807160435834889,0.6491165562202789,0.03199130309558354,0.6235734204673866,0.009711042259714168,0.61693208648202,0.034216143805427465
xgboost,0.6410570341452263,0.025926252214081777,0.3179283846854644,0.03854568042471111,0.6896038292985077,0.06829315095904527,0.7286047862897225,0.0639261511303167,0.6638405825235166,0.01822198406837598,0.6562704959651745,0.021185942924432544
catboost,0.6302544377611558,0.031429240601453565,0.3066573717566616,0.042555877225825885,0.6745128136880494,0.049190441231796604,0.6900326473786311,0.05476712274800072,0.6505528972363649,0.015368528811240977,0.6495128136880494,0.020050548281187717
mlp,0.5867345693672203,0.014633572876014649,0.23873589674649354,0.0069936719806477105,0.6422009611068819,0.02154331086633288,0.6343079995676885,0.009498872348481286,0.614688951489174,0.008607463983489999,0.6172009611068817,0.014920586860806318
gaussian_nb,0.5497389542381336,0.05939210258523973,0.21460907354668804,0.06589476772210555,0.6296603806801555,0.012092952465157755,0.592865644304011,0.02612008129040491,0.5791906785915869,0.06522979252204039,0.6046603806801555,0.04506032163243317
