model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.4833769105167567,0.013011747250371491,0.28122128734071183,0.016838742461717245,0.5245218885260639,0.014813735722579867,0.53776631303562,0.01228475761797494,0.5043198560531209,0.012395924328233781,0.5101279491321243,0.011867885214644125
svm_rbf,0.4099073313986989,0.045098125367044405,0.17449217395490768,0.060004765584347454,0.4416428882880787,0.04339943851551775,0.47868171498078865,0.032457284694531886,0.4458243744446697,0.049208406934432534,0.4376024842476746,0.04904127264615596
random_forest,0.5012495622347212,0.02582574696128938,0.299092478162938,0.03195306006137145,0.5304133214733132,0.013324138491574777,0.5576817135238811,0.024362550796367913,0.529363324975492,0.021537168646286485,0.5198072608672526,0.024317180693822667
lightgbm,0.47500326017407346,0.024856626609351617,0.2401649244491315,0.03441388156267716,0.5058291323085573,0.008734027809940705,0.528755155545189,0.022897952458334966,0.4937579861168784,0.021644066648626583,0.49522307170249663,0.02273886186741601
svm_linear,0.4744891795605691,0.009466695217976264,0.2562855640624559,0.010633958607860955,0.5066689213368852,0.01853454468550486,0.5295914547656569,0.0016760618786640577,0.49915061272307365,0.002773799441798762,0.49404265871062253,0.008350562459379502
knn,0.4650580309204056,0.03033486841100452,0.23244995901496057,0.020727256247170835,0.5035317173147547,0.019059274083372307,0.5048474221772598,0.029883803777704825,0.474433488791468,0.0322599453988289,0.4951983839814213,0.030648720166071054
gaussian_nb,0.4585765450131147,0.05080950526391503,0.2377725346155918,0.06526901639285677,0.5050766908572961,0.04716148634399371,0.5042525655676986,0.031216988183242037,0.4815844827880839,0.04210325504948605,0.4904302262108315,0.06704841153964346
mlp,0.4669314561632438,0.01791604609151611,0.2430648850689323,0.01662267571538085,0.5012330000797589,0.0014090341662442688,0.5212182889774913,0.007803287993650775,0.48853033573207477,0.011275175351219146,0.4886067374534962,0.01746690655413879
xgboost,0.46948013714117987,0.01048639768924512,0.24518262961237336,0.016925270844745273,0.49477894062127376,0.004753611293859029,0.5444707536886192,0.010458266858950052,0.5079743278116361,0.013249912006538366,0.48518298102531415,0.008841377736263003
catboost,0.508082281822631,0.0235284746533932,0.29862534179669337,0.023075099347286517,0.5412948540660626,0.010369044856639772,0.5554749011442545,0.019673289882187393,0.5203382690039554,0.016743318105398516,0.529678692449901,0.02626834069401344
