model,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
logistic_regression,0.45343701754537324,0.021388405644013845,0.2414101579042497,0.022848397454570093,0.5006408180881547,0.014051946027403056,0.5101518722759408,0.01931789315837538,0.47834631474103495,0.014390865779381078,0.48624687869421535,0.01500784036954813
svm_rbf,0.4370203386445994,0.023671087364553117,0.2064987058830713,0.047056004170563326,0.46410636532669086,0.024407366520002603,0.49968629439915785,0.012826286801050336,0.4846599972707913,0.04154406566938003,0.45905586027618583,0.030687823177263037
random_forest,0.48340725687039326,0.008177539865441487,0.2651693240482611,0.01584545901887353,0.5112611881406849,0.018745677678129728,0.5321695418846996,0.011661613362632666,0.5190052373665515,0.011959730929003414,0.4996450265245233,0.011959069148571713
lightgbm,0.4628158481659303,0.01908080820854871,0.24801972347489612,0.02845565757027751,0.5013459367980878,0.025058002550217184,0.5239442901645605,0.01855352604194897,0.4929211124628754,0.014376065637650155,0.48770957316172425,0.021720174419485188
svm_linear,0.4471957249011813,0.006240720302647319,0.22105093037605714,0.01783933110183174,0.4806180510419685,0.018990588921776838,0.5013772736065015,0.01401593233872085,0.4803364213790809,0.006182616129887297,0.4679917884157058,0.00937992484413773
knn,0.4472260023759789,0.02585487955406701,0.19775004944443966,0.03125991114453178,0.4804730044446687,0.02323152495382918,0.4862794403983721,0.023807436006295212,0.4689504409485539,0.015378261953171747,0.4746649236365879,0.03144202880625515
xgboost,0.4599300595953985,0.012381687886624169,0.2346401661295867,0.027872183310597952,0.49414547246603285,0.02004880742913229,0.5309767239059636,0.007510052395633505,0.49986107019334297,0.02207340111768195,0.4835394118599723,0.018813269397058952
catboost,0.4531427722705737,0.02033700174459695,0.2153766135633378,0.03295111085235873,0.48374701337972265,0.014011292099903242,0.5060733908182211,0.011144641675312036,0.4820482728021041,0.00876563630818535,0.4749086295413389,0.020651204298505373
mlp,0.4578159292957094,0.013714179583202629,0.259239160980747,0.01205817664497874,0.4860119302513608,0.006950110680031457,0.5257744150418361,0.017234419297956487,0.4843480571046319,0.004074369789522085,0.47616344540287586,0.01291006041641613
gaussian_nb,0.37684249880753923,0.03049669153238433,0.15523889906240995,0.06831839800131966,0.4596699111216295,0.04349841388372877,0.4269776502645728,0.007071895807041302,0.4479429953944596,0.03820716473682163,0.4505790020307204,0.0547665458022756
