gene,species,human_accession,human_len,orth_accession,orth_len,identity_pct,gap_columns,mapped_residues,insertions
CHRNA1,mouse,NP_000070.1,457,NP_031415.2,457,94.31,0,457,0
CHRNA1,rat,NP_000070.1,457,NP_077811.1,457,93.87,0,457,0
CHRNA2,mouse,NP_000733.2,529,NP_001412497.1,512,81.31,29,506,6
CHRNA2,rat,NP_000733.2,529,NP_596911.1,511,80.34,28,506,5
CHRNA3,mouse,NP_000734.2,505,NP_660111.3,499,91.29,6,499,0
CHRNA3,rat,NP_000734.2,505,NP_434692.2,499,90.89,6,499,0
CHRNA4,mouse,NP_000735.1,627,NP_056545.3,629,84.47,6,625,4
CHRNA4,rat,NP_000735.1,627,NP_077330.2,630,84.49,7,625,5
CHRNA5,mouse,NP_000736.2,468,NP_001360830.1,467,89.1,1,467,0
CHRNA5,rat,NP_000736.2,468,NP_058774.2,467,89.32,1,467,0
CHRNA6,mouse,NP_004189.1,494,NP_067344.2,494,85.02,0,494,0
CHRNA6,rat,NP_004189.1,494,NP_476532.2,493,84.41,1,493,0
CHRNA7,mouse,NP_000737.1,502,NP_031416.3,502,93.23,0,502,0
CHRNA7,rat,NP_000737.1,502,NP_036964.3,502,93.23,0,502,0
CHRNA9,mouse,NP_060051.2,479,NP_001074573.1,479,91.02,0,479,0
CHRNA9,rat,NP_060051.2,479,NP_075219.2,479,91.23,0,479,0
CHRNA10,mouse,NP_065135.2,450,NP_001074893.1,447,91.33,3,447,0
CHRNA10,rat,NP_065135.2,450,NP_072161.1,447,90.0,3,447,0
CHRNB1,mouse,NP_000738.2,501,NP_033731.3,501,89.82,0,501,0
CHRNB1,rat,NP_000738.2,501,NP_036660.1,501,88.82,0,501,0
CHRNB2,mouse,NP_000739.1,502,NP_033732.2,501,94.02,1,501,0
CHRNB2,rat,NP_000739.1,502,NP_062170.1,500,93.43,2,500,0
CHRNB3,mouse,NP_000740.1,458,NP_775304.1,464,85.16,8,457,7
CHRNB3,rat,NP_000740.1,458,NP_598281.1,464,85.59,8,457,7
CHRNB4,mouse,NP_000741.1,498,NP_683746.1,495,82.27,11,491,4
CHRNB4,rat,NP_000741.1,498,NP_434693.1,495,81.27,11,491,4
CHRND,mouse,NP_000742.1,517,NP_067611.2,520,87.31,3,517,3
CHRND,rat,NP_000742.1,517,NP_062171.1,517,87.62,0,517,0
CHRNE,mouse,NP_000071.1,493,NP_033733.1,493,88.64,0,493,0
CHRNE,rat,NP_000071.1,493,NP_058890.1,494,87.65,1,493,1
CHRNG,mouse,NP_005190.4,517,NP_033734.3,519,90.17,2,517,2
CHRNG,rat,NP_005190.4,517,NP_062018.1,519,89.79,2,517,2
