NCBI GeneID	Symbol	Transcript Accession	Transcript Length	Transcript Protein Accession	Transcript Protein Length	Transcript Protein Name	Transcript Protein Isoform
1143	CHRNB4	NM_000750.5	2596	NP_000741.1	498	neuronal acetylcholine receptor subunit beta-4	isoform 1 precursor
1143	CHRNB4	NM_001256567.3	1617	NP_001243496.1	231	neuronal acetylcholine receptor subunit beta-4	isoform 2 precursor
1143	CHRNB4	XM_011521186.3	3959	XP_011519488.1	495	neuronal acetylcholine receptor subunit beta-4	isoform X1
1143	CHRNB4	XM_011521187.3	3865	XP_011519489.1	495	neuronal acetylcholine receptor subunit beta-4	isoform X1
1143	CHRNB4	XM_011521190.3	2800	XP_011519492.1	424	neuronal acetylcholine receptor subunit beta-4	isoform X6
1143	CHRNB4	XM_011521191.3	2447	XP_011519493.1	424	neuronal acetylcholine receptor subunit beta-4	isoform X6
1143	CHRNB4	XM_011521192.3	2397	XP_011519494.1	316	neuronal acetylcholine receptor subunit beta-4	isoform X7
1143	CHRNB4	XM_017021885.2	2721	XP_016877374.1	468	neuronal acetylcholine receptor subunit beta-4	isoform X2
1143	CHRNB4	XM_017021886.2	4533	XP_016877375.1	468	neuronal acetylcholine receptor subunit beta-4	isoform X2
1143	CHRNB4	XM_017021887.2	1691	XP_016877376.1	463	neuronal acetylcholine receptor subunit beta-4	isoform X3
1143	CHRNB4	XM_017021888.2	1747	XP_016877377.1	462	neuronal acetylcholine receptor subunit beta-4	isoform X4
1143	CHRNB4	XM_017021889.3	2214	XP_016877378.1	449	neuronal acetylcholine receptor subunit beta-4	isoform X5
1143	CHRNB4	XM_054377235.1	2620	XP_054233210.1	495	neuronal acetylcholine receptor subunit beta-4	isoform X1
1143	CHRNB4	XM_054377236.1	2714	XP_054233211.1	495	neuronal acetylcholine receptor subunit beta-4	isoform X1
1143	CHRNB4	XM_054377237.1	2721	XP_054233212.1	468	neuronal acetylcholine receptor subunit beta-4	isoform X2
1143	CHRNB4	XM_054377238.1	4534	XP_054233213.1	468	neuronal acetylcholine receptor subunit beta-4	isoform X2
1143	CHRNB4	XM_054377239.1	1631	XP_054233214.1	463	neuronal acetylcholine receptor subunit beta-4	isoform X3
1143	CHRNB4	XM_054377240.1	1685	XP_054233215.1	462	neuronal acetylcholine receptor subunit beta-4	isoform X4
1143	CHRNB4	XM_054377241.1	2152	XP_054233216.1	449	neuronal acetylcholine receptor subunit beta-4	isoform X5
1143	CHRNB4	XM_054377242.1	2447	XP_054233217.1	424	neuronal acetylcholine receptor subunit beta-4	isoform X6
1143	CHRNB4	XM_054377243.1	2800	XP_054233218.1	424	neuronal acetylcholine receptor subunit beta-4	isoform X6
1143	CHRNB4	XM_054377244.1	2397	XP_054233219.1	316	neuronal acetylcholine receptor subunit beta-4	isoform X7
